,Title,Published_date,Views,Likes,Comments,month
136,Why I'm Starting Data Science Over Again.,2020-08-29 15:30:10+00:00,50653,2605,450,8
137,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26 15:00:03+00:00,14917,622,76,8
138,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24 15:00:31+00:00,12590,453,55,8
139,Don't Buy My Course..,2020-08-21 16:00:32+00:00,7321,357,146,8
140,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19 15:00:11+00:00,28961,1109,166,8
141,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17 15:00:07+00:00,3209,128,40,8
142,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14 15:00:31+00:00,6280,535,108,8
143,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12 15:30:26+00:00,4919,184,39,8
144,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10 15:00:08+00:00,11280,366,53,8
145,The Plagiarism Problem in Data Science,2020-08-07 15:00:16+00:00,13027,630,145,8
146,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05 15:00:09+00:00,14314,601,89,8
147,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03 15:00:08+00:00,4869,187,56,8
148,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31 14:30:01+00:00,11248,577,90,7
149,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30 01:00:10+00:00,2305,116,34,7
150,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27 15:00:30+00:00,5548,251,112,7
151,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24 15:00:11+00:00,8156,247,200,7
152,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22 15:00:05+00:00,1847,98,27,7
153,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20 15:00:08+00:00,28672,559,90,7
154,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17 16:00:05+00:00,306150,6895,410,7
155,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16 02:00:09+00:00,30058,1121,121,7
156,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13 16:00:01+00:00,3606,135,50,7
157,The Best Computer for Data Science Beginners,2020-07-10 16:00:09+00:00,36773,840,157,7
158,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08 21:00:09+00:00,6136,228,82,7
159,Critiquing MY OWN Data Science Resume,2020-07-06 16:00:30+00:00,12545,396,88,7
160,Where to Start Learning Data Science,2020-07-03 16:00:04+00:00,18531,780,126,7
161,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01 15:00:12+00:00,4079,197,37,7
162,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29 15:00:08+00:00,4548,178,54,6
163,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26 15:00:10+00:00,15948,547,79,6
164,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22 13:00:03+00:00,2391,82,40,6
165,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20 02:09:18+00:00,2378,139,49,6
